FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
Joel,Embiid,,C,PHI,66,34.6,0.548,0.857,1,10.2,4.2,1,1.7,3.4,33.1
Luka,Doncic,,PG,DAL,66,36.2,0.496,0.742,2.8,8.6,8,1.4,0.5,3.6,32.4
Damian,Lillard,,PG,MIL,58,36.3,0.463,0.914,4.2,4.8,7.3,0.9,0.3,3.3,32.2
Shai,Gilgeous-Alexander,,PG,OKC,68,35.5,0.51,0.905,0.9,4.8,5.5,1.6,1,2.8,31.4
Giannis,Antetokounmpo,,PF,MIL,63,32.1,0.553,0.645,0.7,11.8,5.7,0.8,0.8,3.9,31.1
Jayson,Tatum,,SF,BOS,74,36.9,0.466,0.854,3.2,8.8,4.6,1.1,0.7,2.9,30.1
Stephen,Curry,,PG,GSW,56,34.7,0.493,0.915,4.9,6.1,6.3,0.9,0.4,3.2,29.4
Kevin,Durant,,PF,PHO,47,35.6,0.56,0.919,2,6.7,5,0.7,1.4,3.3,29.1
LeBron,James,,SF,LAL,55,35.5,0.5,0.768,2.2,8.3,6.8,0.9,0.6,3.2,28.9
Donovan,Mitchell,,SG,CLE,68,35.8,0.484,0.867,3.6,4.3,4.4,1.5,0.4,2.6,28.3
Devin,Booker,,SG,PHO,53,34.6,0.494,0.855,2.1,4.5,5.5,1,0.3,2.7,27.8
Kyrie,Irving,,PG,DAL,60,37.4,0.494,0.905,3.1,5.1,5.5,1.1,0.8,2.1,27.1
Jaylen,Brown,,SG,BOS,67,35.9,0.491,0.765,2.4,6.9,3.5,1.1,0.4,2.9,26.6
Trae,Young,,PG,ATL,73,34.8,0.43,0.886,2.1,3,10.2,1.1,0.1,4.1,26.2
Ja,Morant,,PG,MEM,61,31.9,0.466,0.748,1.5,5.9,8.1,1.1,0.3,3.4,26.2
Zion,Williamson,,PF,NOR,29,33,0.608,0.714,0.2,7,4.6,1.1,0.6,3.4,26
Anthony,Davis,,PF,LAL,56,34,0.563,0.784,0.3,12.5,2.6,1.1,2,2.2,25.9
Lauri,Markkanen,,PF,UTH,66,34.4,0.499,0.875,3,8.6,1.9,0.6,0.6,1.9,25.6
Julius,Randle,,PF,NYK,77,35.5,0.46,0.757,2.8,10,4.1,0.6,0.3,2.8,25.1
De'Aaron,Fox,,PG,SAC,73,33.4,0.512,0.78,1.6,4.2,6.1,1.1,0.3,2.5,25
Zach,LaVine,,SG,CHI,77,35.9,0.485,0.848,2.6,4.5,4.2,0.9,0.2,2.5,24.8
Brandon,Ingram,,SF,NOR,45,34.2,0.484,0.882,1.4,5.5,5.8,0.7,0.4,3.3,24.7
Anthony,Edwards,,SG,MIN,79,36,0.459,0.756,2.7,5.8,4.4,1.6,0.7,3.3,24.6
DeMar,DeRozan,,SF,CHI,74,36.2,0.504,0.872,0.6,4.6,5.1,1.1,0.5,2.1,24.5
Nikola,Jokic,,C,DEN,69,33.7,0.632,0.822,0.8,11.8,9.8,1.3,0.7,3.6,24.5
Pascal,Siakam,,PF,TOR,71,37.4,0.48,0.774,1.3,7.8,5.8,0.9,0.5,2.4,24.2
Jalen,Brunson,,PG,NYK,68,35,0.491,0.829,2,3.5,6.2,0.9,0.2,2.1,24
Kawhi,Leonard,,SF,LAC,52,33.6,0.512,0.871,2,6.5,3.9,1.4,0.5,1.7,23.8
Paul,George,,F,LAC,56,34.6,0.457,0.871,2.8,6.1,5.1,1.5,0.4,3.1,23.8
LaMelo,Ball,,PG,CHA,36,35.2,0.411,0.843,4,6.4,8.4,1.3,0.3,3.6,23.3
Bradley,Beal,,SG,PHO,50,33.5,0.506,0.842,1.6,3.9,5.4,0.9,0.7,2.9,23.2
Kristaps,Porzingis,,C,BOS,65,32.6,0.498,0.851,2.1,8.4,2.7,0.9,1.5,2.1,23.2
Jimmy,Butler,,SF,MIA,64,33.4,0.539,0.85,0.6,5.9,5.3,1.8,0.3,1.6,22.9
Jalen,Green,,SG,HOU,76,34.2,0.417,0.786,2.5,3.7,3.7,0.8,0.2,2.6,22.1
Keldon,Johnson,,SF,SAS,63,32.7,0.452,0.749,2.1,5,2.9,0.7,0.2,2.1,22
Klay,Thompson,,SG,GSW,69,33,0.436,0.879,4.4,4.1,2.4,0.7,0.4,1.8,21.9
Darius,Garland,,PG,CLE,69,35.5,0.462,0.863,2.4,2.7,7.8,1.2,0.1,2.9,21.6
Bojan,Bogdanovic,,SF,DET,59,32.1,0.488,0.884,2.5,3.8,2.6,0.6,0.1,2.3,21.6
Desmond,Bane,,SG,MEM,58,31.7,0.479,0.883,2.9,5,4.4,1,0.4,2.2,21.5
Kyle,Kuzma,,SF,WAS,64,35,0.448,0.73,2.5,7.2,3.7,0.6,0.5,3,21.2
Terry,Rozier,,SG,CHA,63,35.3,0.415,0.809,2.6,4.1,5.1,1.2,0.3,2.1,21.1
Anfernee,Simons,,SG,POR,62,35,0.447,0.894,3.4,2.6,4.1,0.7,0.2,2.1,21.1
James,Harden,,SG,PHI,58,36.8,0.441,0.867,2.8,6.1,10.7,1.2,0.5,3.4,21
CJ,McCollum,,SG,NOR,75,35.3,0.437,0.769,2.8,4.4,5.7,0.9,0.5,2.4,20.9
Jordan,Clarkson,,PG,UTH,61,32.6,0.444,0.816,2.5,4,4.4,0.5,0.2,3,20.8
Karl-Anthony,Towns,,C,MIN,29,33,0.495,0.874,2.1,8.1,4.8,0.7,0.6,3,20.8
Tyrese,Haliburton,,PG,IND,56,33.6,0.49,0.871,2.9,3.7,10.4,1.6,0.4,2.5,20.7
Jerami,Grant,,SF,POR,63,35.7,0.475,0.813,2.3,4.5,2.4,0.8,0.8,1.8,20.5
Dejounte,Murray,,SG,ATL,74,36.4,0.464,0.832,1.8,5.3,6.1,1.5,0.3,2.2,20.5
Jordan,Poole,,SG,WAS,82,30,0.43,0.87,2.6,2.7,4.5,0.8,0.3,3.1,20.4
Bam,Adebayo,,C,MIA,75,34.6,0.54,0.806,0,9.2,3.2,1.2,0.8,2.5,20.4
Tyrese,Maxey,,PG,PHI,60,33.6,0.481,0.845,2.7,2.9,3.5,0.8,0.1,1.3,20.3
Kelly,Oubre,Jr,SG,PHI,48,32.3,0.431,0.76,2.3,5.2,1.1,1.4,0.4,1.3,20.3
Mikal,Bridges,,SF,BKN,83,35.7,0.468,0.895,2,4.4,3.3,1.1,0.7,1.5,20.1
Tyler,Herro,,PG,MIA,67,34.9,0.439,0.934,3,5.4,4.2,0.8,0.2,2.4,20.1
Louis,King,,SF,PHI,1,29,0.615,0,4,4,2,1,0,2,20
Jamal,Murray,,PG,DEN,65,32.8,0.454,0.833,2.6,4,6.2,1,0.2,2.2,20
Paolo,Banchero,,PF,ORL,72,33.8,0.427,0.738,1.2,6.9,3.7,0.8,0.5,2.8,20
Cade,Cunningham,,PG,DET,12,33.3,0.415,0.837,1.4,6.2,6,0.8,0.6,3.3,19.9
RJ,Barrett,,SG,NYK,73,33.9,0.434,0.74,1.7,5,2.8,0.4,0.2,2.2,19.6
Fred,VanVleet,,SG,HOU,69,36.7,0.393,0.898,3,4.1,7.2,1.8,0.6,2,19.3
Jrue,Holiday,,PG,BOS,67,32.6,0.479,0.859,2.4,5.1,7.4,1.2,0.4,2.9,19.3
Kevin,Porter,Jr,SG,HOU,59,34.3,0.442,0.784,2.4,5.3,5.7,1.4,0.3,3.2,19.2
Domantas,Sabonis,,PF,SAC,79,34.6,0.615,0.742,0.4,12.3,7.3,0.8,0.5,2.9,19.1
Jaren,Jackson,Jr,PF,MEM,63,28.4,0.506,0.788,1.6,6.8,1,1,3,1.7,18.6
Franz,Wagner,,SF,ORL,80,32.6,0.485,0.842,1.6,4.1,3.5,1,0.2,2.1,18.6
Devin,Vassell,,SG,SAS,38,31,0.439,0.78,2.7,3.9,3.6,1.1,0.4,1.5,18.5
Deandre,Ayton,,C,POR,67,30.4,0.589,0.76,0.1,10,1.7,0.6,0.8,1.8,18
Myles,Turner,,C,IND,62,29.4,0.548,0.783,1.5,7.5,1.4,0.6,2.3,1.7,18
D'Angelo,Russell,,PG,LAL,71,32.5,0.469,0.829,2.7,3,6.2,1,0.4,2.6,17.8
Nikola,Vucevic,,C,CHI,82,33.5,0.52,0.835,1.5,11,3.2,0.7,0.7,1.7,17.6
Michael,Porter,Jr,SF,DEN,62,29,0.487,0.8,3,5.5,1,0.6,0.5,1.1,17.4
Gary,Trent,Jr,SG,TOR,66,32.1,0.433,0.839,2.5,2.6,1.6,1.6,0.2,0.8,17.4
Spencer,Dinwiddie,,PG,BKN,79,34.5,0.438,0.812,2.3,3.4,6.5,0.8,0.3,1.8,17.3
Andrew,Wiggins,,SF,GSW,37,32.2,0.473,0.611,2.4,5,2.3,1.2,0.8,1.3,17.1
Norman,Powell,,G,LAC,60,26.1,0.479,0.812,1.9,2.9,1.8,0.8,0.3,1.7,17
Buddy,Hield,,SG,IND,80,31,0.458,0.822,3.6,5,2.8,1.2,0.3,1.7,16.8
O.G.,Anunoby,,SF,TOR,67,35.6,0.476,0.838,2.1,5,2,1.9,0.7,2,16.8
Bennedict,Mathurin,,SG,IND,78,28.5,0.434,0.828,1.3,4.1,1.5,0.6,0.2,1.9,16.7
Christian,Wood,,F,LAL,67,25.9,0.515,0.772,1.6,7.3,1.8,0.4,1.1,1.8,16.6
Josh,Giddey,,SG,OKC,76,31.1,0.482,0.731,1,7.9,6.2,0.8,0.4,2.8,16.6
Aaron,Gordon,,PF,DEN,68,30.2,0.564,0.608,0.9,6.6,3,0.8,0.8,1.4,16.3
Jaden,Ivey,,PG,DET,74,31.1,0.416,0.747,1.6,3.9,5.2,0.8,0.2,3.2,16.3
Evan,Mobley,,PF,CLE,79,34.4,0.554,0.674,0.3,9,2.8,0.8,1.5,1.8,16.2
RaiQuan,Gray,,F,BKN,1,35,0.5,1,2,9,7,0,1,4,16
Brook,Lopez,,C,MIL,78,30.4,0.531,0.784,1.7,6.7,1.3,0.5,2.5,1.4,15.9
Russell,Westbrook,,PG,LAC,73,29.1,0.436,0.656,1.2,5.8,7.5,1,0.5,3.5,15.9
P.J.,Washington,,PF,CHA,73,32.6,0.444,0.73,2,4.9,2.4,0.9,1.1,1.5,15.7
Cameron,Johnson,,SF,BKN,42,28.6,0.47,0.842,2.5,4.4,1.9,1.2,0.3,0.9,15.5
De'Andre,Hunter,,SF,ATL,67,31.7,0.461,0.826,1.5,4.2,1.4,0.5,0.3,1.2,15.4
Skylar,Mays,,SG,POR,6,31.5,0.5,0.923,2,3.2,8.3,1,0.2,1.7,15.3
Scottie,Barnes,,SF,TOR,77,34.8,0.456,0.772,0.8,6.6,4.8,1.1,0.8,2,15.3
Wendell,Carter,Jr,C,ORL,57,29.6,0.525,0.738,1.4,8.7,2.3,0.5,0.6,1.9,15.2
Kevin,Huerter,,SG,SAC,75,29.4,0.485,0.725,2.7,3.3,2.9,1.1,0.3,1.3,15.2
Khris,Middleton,,SF,MIL,33,24.3,0.436,0.902,1.5,4.2,4.9,0.7,0.2,2.2,15.1
Harrison,Barnes,,SF,SAC,82,32.5,0.473,0.847,1.6,4.5,1.6,0.7,0.1,1,15
Immanuel,Quickley,,SG,NYK,81,28.9,0.448,0.819,2.1,4.2,3.4,1,0.2,1.2,14.9
Malcolm,Brogdon,,PG,POR,67,26,0.484,0.87,2,4.2,3.7,0.7,0.3,1.5,14.9
Alperen,Sengun,,C,HOU,75,28.9,0.553,0.715,0.3,9,3.9,0.9,0.9,2.6,14.8
Tobias,Harris,,PF,PHI,74,32.9,0.501,0.876,1.7,5.7,2.5,0.9,0.5,1.2,14.7
Gordon,Hayward,,SF,CHA,50,31.5,0.475,0.811,1,4.3,4.1,0.8,0.2,2,14.7
Trey,Murphy,III,SG,NOR,79,31,0.484,0.905,2.6,3.6,1.4,1.1,0.5,0.8,14.5
Tim,Hardaway,Jr,SF,DAL,71,30.3,0.401,0.77,3,3.5,1.8,0.7,0.2,0.8,14.4
Dillon,Brooks,,SF,HOU,73,30.3,0.396,0.779,2,3.3,2.6,0.9,0.2,1.4,14.3
Collin,Sexton,,PG,UTH,48,23.9,0.506,0.819,1,2.2,2.9,0.6,0.1,1.8,14.3
Jarrett,Allen,,C,CLE,68,32.6,0.644,0.733,0,9.8,1.7,0.8,1.2,1.4,14.3
Jonas,Valanciunas,,C,NOR,79,24.9,0.547,0.826,0.5,10.2,1.8,0.3,0.7,2,14.1
Bobby,Portis,,F,MIL,70,26,0.496,0.768,1.4,9.6,1.5,0.4,0.2,1.2,14.1
Jalen,Williams,,F,OKC,75,30.3,0.521,0.812,1,4.5,3.3,1.4,0.5,1.6,14.1
Bogdan,Bogdanovic,,SG,ATL,54,27.9,0.447,0.831,2.7,3.1,2.8,0.8,0.3,1.2,14
Markelle,Fultz,,PG,ORL,60,29.6,0.514,0.783,0.5,3.9,5.7,1.5,0.4,2.3,14
Chris,Paul,,PG,GSW,59,32,0.44,0.831,1.7,4.3,8.9,1.5,0.4,1.9,13.9
Saddiq,Bey,,SF,ATL,77,27.6,0.422,0.861,2,4.7,1.5,0.9,0.2,0.9,13.8
Luguentz,Dort,,G,OKC,74,30.7,0.388,0.772,1.8,4.6,2.1,1,0.3,1.2,13.7
Malik,Monk,,SG,SAC,77,22.3,0.448,0.889,1.9,2.6,3.9,0.6,0.3,1.9,13.5
Rudy,Gobert,,C,MIN,70,30.7,0.659,0.644,0,11.6,1.2,0.8,1.4,1.7,13.4
Jusuf,Nurkic,,C,PHO,52,26.8,0.519,0.661,0.8,9.1,2.9,0.8,0.8,2.3,13.3
Kris,Dunn,,G,UTH,22,25.8,0.537,0.774,0.8,4.5,5.6,1.1,0.5,1.6,13.2
John,Collins,,PF,UTH,71,30,0.508,0.803,1,6.5,1.2,0.6,1,1.1,13.1
Cole,Anthony,,PG,ORL,60,25.9,0.454,0.894,1.3,4.8,3.9,0.6,0.5,1.5,13
Austin,Reaves,,SG,LAL,64,28.8,0.529,0.864,1.3,3,3.4,0.5,0.3,1.5,13
Tre,Jones,,PG,SAS,68,29.2,0.459,0.86,0.7,3.6,6.6,1.3,0.1,1.6,12.9
Jabari,Smith,Jr,PF,HOU,79,31,0.408,0.786,1.5,7.2,1.3,0.5,0.9,1.3,12.8
Alec,Burks,,SG,DET,51,22,0.436,0.814,1.9,3.1,2.2,0.7,0.2,1.1,12.8
Kenyon,Martin,Jr,F,LAC,82,28,0.569,0.68,0.8,5.5,1.5,0.5,0.4,1.1,12.7
Malik,Beasley,,SG,MIL,81,25.8,0.395,0.769,2.9,3.5,1.5,0.8,0.1,1.1,12.7
Nicolas,Claxton,,C,BKN,76,29.9,0.705,0.541,0,9.2,1.9,0.9,2.5,1.3,12.6
Dennis,Schroder,,PG,TOR,66,30.1,0.415,0.857,1.1,2.5,4.5,0.8,0.2,1.7,12.6
Mac,McClung,,SG,ORL,2,20.5,0.45,0.6,2,5,4.5,0,0,1.5,12.5
Jakob,Poeltl,,C,TOR,72,26.5,0.629,0.592,0,9.1,2.7,0.9,1.2,1.7,12.5
Kelly,Olynyk,,PF,UTH,68,28.6,0.499,0.853,1.4,6.2,3.7,0.9,0.5,2.5,12.5
Eric,Gordon,,SG,LAC,69,28.5,0.446,0.821,1.9,1.9,2.7,0.6,0.4,1.5,12.4
Derrick,White,,PG,BOS,82,28.3,0.462,0.875,1.8,3.6,3.9,0.7,0.9,1.2,12.4
Keegan,Murray,,SF,SAC,80,29.8,0.453,0.765,2.6,4.6,1.2,0.8,0.5,0.8,12.2
Caris,LeVert,,SG,CLE,74,30.2,0.431,0.722,1.7,3.8,3.9,1,0.3,1.6,12.1
Jaden,McDaniels,,PF,MIN,79,30.6,0.517,0.736,1.4,3.9,1.9,0.9,1,1.4,12.1
Marvin,Bagley,III,PF,DET,42,23.6,0.529,0.75,0.5,6.4,0.9,0.5,0.7,1.1,12
Clint,Capela,,C,ATL,65,26.6,0.653,0.603,0,11,0.9,0.7,1.2,0.8,12
Mike,Conley,,PG,MIN,67,30.3,0.428,0.834,2,2.7,6.7,1.1,0.2,1.5,11.9
Bones,Hyland,,PG,LAC,56,19.4,0.399,0.843,2.1,2.4,3.1,0.7,0.3,1.5,11.8
Lonnie,Walker,IV,G,BKN,56,23.2,0.448,0.858,1.6,1.9,1.1,0.5,0.3,0.8,11.7
Zach,Collins,,PF,SAS,63,22.9,0.518,0.761,0.9,6.4,2.9,0.6,0.8,2,11.6
Bruce,Brown,,SF,IND,80,28.5,0.483,0.758,1.1,4.1,3.4,1.1,0.6,1.5,11.5
Max,Strus,,SG,CLE,80,28.4,0.41,0.876,2.5,3.2,2.1,0.5,0.2,0.9,11.5
Marcus,Smart,,PG,MEM,61,32.1,0.415,0.746,1.9,3.1,6.3,1.5,0.4,2.3,11.5
Naz,Reid,,C,MIN,68,18.4,0.537,0.677,1.1,4.9,1.1,0.6,0.8,1.4,11.5
John,Wall,,PG,HOU,34,22.2,0.407,0.681,1,2.7,5.2,0.8,0.4,2.4,11.4
Isaiah,Stewart,,C,DET,50,28.3,0.442,0.738,1.3,8.1,1.4,0.4,0.7,1.4,11.3
Quentin,Grimes,,SG,NYK,71,29.9,0.468,0.796,2.2,3.2,2.1,0.7,0.4,1,11.3
Rui,Hachimura,,PF,LAL,63,23.3,0.486,0.74,0.8,4.5,0.9,0.3,0.4,0.8,11.2
Marcus,Morris,Sr,SF,LAC,65,28.1,0.426,0.782,1.7,4,1.8,0.6,0.3,0.9,11.2
Kyle,Lowry,,PG,MIA,55,31.2,0.404,0.859,1.9,4.1,5.1,1,0.4,1.9,11.2
Corey,Kispert,,SF,WAS,74,28.3,0.497,0.852,2.2,2.8,1.2,0.4,0.1,0.7,11.1
Jeremy,Sochan,,F,SAS,56,26,0.453,0.698,0.6,5.3,2.5,0.8,0.4,1.7,11
Mason,Plumlee,,C,LAC,79,26,0.68,0.636,0,8.9,3.1,0.6,0.6,1.5,10.8
Jaylen,Nowell,,SG,MIN,65,19.3,0.448,0.778,1,2.6,2,0.6,0.1,1,10.8
Kentavious,Caldwell-Pope,,SG,DEN,76,31.3,0.462,0.824,1.8,2.7,2.4,1.5,0.5,1.1,10.8
Ivica,Zubac,,C,LAC,76,28.5,0.634,0.697,0,9.9,1,0.4,1.3,1.5,10.8
Talen,Horton-Tucker,,SG,UTH,65,20.2,0.419,0.75,0.9,3.2,3.8,0.6,0.4,1.9,10.7
Victor,Oladipo,,SG,OKC,42,26.3,0.397,0.747,1.7,3,3.5,1.4,0.3,2.1,10.7
Jeenathan,Williams,,G,HOU,5,25.4,0.615,0.667,0.6,3,2,0.6,0.4,0.8,10.6
Cam,Thomas,,SG,BKN,57,16.6,0.441,0.868,0.9,1.7,1.4,0.4,0.1,1.1,10.6
Moritz,Wagner,,C,ORL,57,19.5,0.5,0.841,0.9,4.5,1.5,0.6,0.2,1.2,10.5
Grayson,Allen,,SG,PHO,72,27.4,0.44,0.905,2,3.3,2.3,0.9,0.2,1,10.4
Killian,Hayes,,PG,DET,76,28.3,0.377,0.821,1.1,2.9,6.2,1.4,0.4,2.3,10.3
Tyus,Jones,,PG,WAS,80,24.2,0.438,0.806,1.5,2.5,5.2,1,0.1,0.9,10.3
Cameron,Payne,,PG,SAS,48,20.2,0.415,0.766,1.4,2.2,4.5,0.7,0.2,1.7,10.3
Monte,Morris,,PG,DET,62,27.4,0.48,0.831,1.3,3.4,5.3,0.7,0.2,1,10.3
Doug,McDermott,,SF,SAS,64,20.5,0.457,0.757,1.9,2.2,1.4,0.2,0.1,0.9,10.2
Malaki,Branham,,G,SAS,66,23.5,0.44,0.829,1.2,2.7,1.9,0.5,0.1,1.2,10.2
