FIRST,LAST,SUFFIX,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS
Chris,Duarte,,SG,SAC,46,19.5,0.369,0.847,1.2,2.5,1.4,0.5,0.2,0.9,7.9
Jeff,Green,,PF,HOU,56,19.5,0.488,0.744,0.5,2.6,1.2,0.3,0.3,0.8,7.8
Tre,Mann,,PG,OKC,67,17.7,0.393,0.764,1.2,2.3,1.8,0.6,0.2,0.9,7.7
Pat,Connaughton,,SG,MIL,61,23.7,0.392,0.659,1.8,4.6,1.3,0.6,0.2,0.5,7.6
Joe,Harris,,SF,DET,74,20.6,0.457,0.643,1.9,2.2,1.4,0.5,0.2,0.6,7.6
Trey,Lyles,,PF,SAC,74,16.9,0.458,0.815,1.2,4.1,0.9,0.4,0.4,0.9,7.6
T.J.,Warren,,SF,PHO,42,16.4,0.489,0.8,0.5,2.9,1,0.5,0.3,0.5,7.5
Torrey,Craig,,SF,CHI,79,24.7,0.456,0.711,1.3,5.4,1.5,0.6,0.8,0.9,7.4
Obi,Toppin,,PF,IND,67,15.7,0.446,0.809,1.3,2.8,1,0.3,0.2,0.6,7.4
Trendon,Watford,,PF,BKN,62,19.1,0.56,0.72,0.4,3.8,2.1,0.5,0.2,1.1,7.4
Devonte,Graham,,PG,SAS,73,18.3,0.374,0.748,1.6,1.7,2.7,0.6,0.2,0.7,7.4
Delon,Wright,,SG,WAS,50,24.4,0.474,0.867,0.8,3.6,3.9,1.8,0.3,0.9,7.4
Mitchell,Robinson,,C,NYK,59,26.9,0.671,0.484,0,9.4,0.9,0.9,1.8,0.7,7.4
Josh,Okogie,,SF,PHO,72,18.8,0.391,0.724,0.9,3.5,1.5,0.8,0.5,0.9,7.3
Jay,Huff,,C,DEN,7,13.6,0.6,0.938,0.9,3,1.4,0.4,0.6,0.7,7.3
Isaiah,Jackson,,SF,IND,63,16.5,0.563,0.651,0,4.5,0.8,0.5,1.5,0.8,7.2
Reggie,Bullock,,SF,SAS,78,30.3,0.409,0.703,1.9,3.6,1.4,0.7,0.2,0.5,7.2
Lindell,Wigginton,,G,MIL,7,12.4,0.486,0.889,0.9,1,2,0,0.3,1.7,7.1
Edmond,Sumner,,PG,CHA,53,13.9,0.461,0.917,0.6,1.5,1.3,0.6,0.2,0.9,7.1
